studentID,Year,Semester,GPA
1001,2020,Spring,3.001
1001,2020,Summer,3.177
1001,2020,Fall,3.188
1001,2021,Spring,3.332
1001,2021,Summer,3.025
1001,2021,Fall,3.051
1001,2022,Spring,3.071
1001,2022,Summer,2.962
1001,2022,Fall,2.709
1001,2023,Spring,3.306
1001,2023,Summer,3.232
1001,2023,Fall,2.875
1001,2024,Spring,3.077
1001,2024,Summer,2.974
1001,2024,Fall,2.998
1001,2025,Spring,2.796
1001,2025,Summer,2.984
1001,2025,Fall,3.198
1002,2020,Spring,3.732
1002,2020,Summer,3.777
1002,2020,Fall,3.749
1002,2021,Spring,3.805
1002,2021,Summer,3.745
1002,2021,Fall,3.913
1002,2022,Spring,3.844
1002,2022,Summer,3.743
1002,2022,Fall,3.878
1002,2023,Spring,3.799
1002,2023,Summer,3.839
1002,2023,Fall,3.743
1002,2024,Spring,3.817
1002,2024,Summer,3.862
1002,2024,Fall,3.92
1002,2025,Spring,3.926
1002,2025,Summer,3.867
1002,2025,Fall,3.885
1003,2020,Spring,2.352
1003,2020,Summer,2.369
1003,2020,Fall,2.331
1003,2021,Spring,2.567
1003,2021,Summer,2.58
1003,2021,Fall,2.639
1003,2022,Spring,2.656
1003,2022,Summer,2.567
1003,2022,Fall,2.405
1003,2023,Spring,2.348
1003,2023,Summer,2.13
1003,2023,Fall,2.59
1003,2024,Spring,2.383
1003,2024,Summer,2.278
1003,2024,Fall,2.561
1003,2025,Spring,2.214
1003,2025,Summer,2.452
1003,2025,Fall,2.363
1004,2020,Spring,2.775
1004,2020,Summer,2.909
1004,2020,Fall,2.68
1004,2021,Spring,2.96
1004,2021,Summer,2.251
1004,2021,Fall,2.81
1004,2022,Spring,2.723
1004,2022,Summer,2.611
1004,2022,Fall,2.691
1004,2023,Spring,2.393
1004,2023,Summer,2.619
1004,2023,Fall,2.728
1004,2024,Spring,2.932
1004,2024,Summer,2.568
1004,2024,Fall,2.541
1004,2025,Spring,2.617
1004,2025,Summer,2.788
1004,2025,Fall,2.714
1005,2020,Spring,3.123
1005,2020,Summer,2.864
1005,2020,Fall,2.805
1005,2021,Spring,3.026
1005,2021,Summer,2.815
1005,2021,Fall,2.825
1005,2022,Spring,3.167
1005,2022,Summer,2.839
1005,2022,Fall,2.435
1005,2023,Spring,3.027
1005,2023,Summer,2.851
1005,2023,Fall,2.901
1005,2024,Spring,3.078
1005,2024,Summer,2.924
1005,2024,Fall,3.024
1005,2025,Spring,2.653
1005,2025,Summer,2.812
1005,2025,Fall,3.274
1006,2020,Spring,3.03
1006,2020,Summer,3.175
1006,2020,Fall,2.909
1006,2021,Spring,2.953
1006,2021,Summer,2.837
1006,2021,Fall,2.716
1006,2022,Spring,2.932
1006,2022,Summer,2.812
1006,2022,Fall,2.802
1006,2023,Spring,2.637
1006,2023,Summer,2.773
1006,2023,Fall,2.493
1006,2024,Spring,2.679
1006,2024,Summer,2.748
1006,2024,Fall,2.432
1006,2025,Spring,2.469
1006,2025,Summer,2.448
1006,2025,Fall,2.378
1007,2020,Spring,2.644
1007,2020,Summer,2.382
1007,2020,Fall,2.629
1007,2021,Spring,2.545
1007,2021,Summer,2.463
1007,2021,Fall,2.412
1007,2022,Spring,2.521
1007,2022,Summer,2.606
1007,2022,Fall,2.699
1007,2023,Spring,2.654
1007,2023,Summer,2.729
1007,2023,Fall,2.923
1007,2024,Spring,2.534
1007,2024,Summer,2.502
1007,2024,Fall,2.343
1007,2025,Spring,2.76
1007,2025,Summer,2.727
1007,2025,Fall,2.431
1008,2020,Spring,3.234
1008,2020,Summer,3.145
1008,2020,Fall,3.351
1008,2021,Spring,3.318
1008,2021,Summer,3.188
1008,2021,Fall,3.348
1008,2022,Spring,3.3
1008,2022,Summer,3.385
1008,2022,Fall,3.453
1008,2023,Spring,3.383
1008,2023,Summer,3.469
1008,2023,Fall,3.479
1008,2024,Spring,3.559
1008,2024,Summer,3.601
1008,2024,Fall,3.511
1008,2025,Spring,3.533
1008,2025,Summer,3.499
1008,2025,Fall,3.548
1009,2020,Spring,3.229
1009,2020,Summer,3.063
1009,2020,Fall,3.493
1009,2021,Spring,3.045
1009,2021,Summer,2.726
1009,2021,Fall,3.005
1009,2022,Spring,2.871
1009,2022,Summer,3.184
1009,2022,Fall,3.039
1009,2023,Spring,3.043
1009,2023,Summer,3.002
1009,2023,Fall,3.188
1009,2024,Spring,3.006
1009,2024,Summer,3.188
1009,2024,Fall,3.265
1009,2025,Spring,3.046
1009,2025,Summer,2.896
1009,2025,Fall,2.999
1010,2020,Spring,3.107
1010,2020,Summer,3.219
1010,2020,Fall,3.226
1010,2021,Spring,3.072
1010,2021,Summer,3.256
1010,2021,Fall,3.309
1010,2022,Spring,3.421
1010,2022,Summer,3.369
1010,2022,Fall,3.015
1010,2023,Spring,3.115
1010,2023,Summer,3.291
1010,2023,Fall,3.313
1010,2024,Spring,3.345
1010,2024,Summer,3.812
1010,2024,Fall,3.327
1010,2025,Spring,3.446
1010,2025,Summer,3.37
1010,2025,Fall,3.345
1011,2020,Spring,2.953
1011,2020,Summer,2.81
1011,2020,Fall,2.932
1011,2021,Spring,2.924
1011,2021,Summer,2.756
1011,2021,Fall,3.019
1011,2022,Spring,2.982
1011,2022,Summer,3.0
1011,2022,Fall,2.932
1011,2023,Spring,3.036
1011,2023,Summer,3.203
1011,2023,Fall,3.086
1011,2024,Spring,3.176
1011,2024,Summer,2.948
1011,2024,Fall,3.372
1011,2025,Spring,3.359
1011,2025,Summer,3.273
1011,2025,Fall,3.252
1012,2020,Spring,2.969
1012,2020,Summer,3.077
1012,2020,Fall,2.944
1012,2021,Spring,3.05
1012,2021,Summer,3.07
1012,2021,Fall,3.134
1012,2022,Spring,2.969
1012,2022,Summer,3.014
1012,2022,Fall,3.029
1012,2023,Spring,3.05
1012,2023,Summer,3.247
1012,2023,Fall,3.142
1012,2024,Spring,3.017
1012,2024,Summer,3.19
1012,2024,Fall,3.337
1012,2025,Spring,3.269
1012,2025,Summer,2.976
1012,2025,Fall,3.107
1013,2020,Spring,3.398
1013,2020,Summer,3.444
1013,2020,Fall,3.351
1013,2021,Spring,3.319
1013,2021,Summer,3.236
1013,2021,Fall,3.304
1013,2022,Spring,3.221
1013,2022,Summer,3.193
1013,2022,Fall,3.347
1013,2023,Spring,3.352
1013,2023,Summer,3.212
1013,2023,Fall,3.2
1013,2024,Spring,3.243
1013,2024,Summer,3.299
1013,2024,Fall,3.203
1013,2025,Spring,3.245
1013,2025,Summer,3.123
1013,2025,Fall,3.143
1014,2020,Spring,3.44
1014,2020,Summer,3.008
1014,2020,Fall,3.49
1014,2021,Spring,2.966
1014,2021,Summer,3.164
1014,2021,Fall,3.287
1014,2022,Spring,3.278
1014,2022,Summer,3.107
1014,2022,Fall,3.186
1014,2023,Spring,3.18
1014,2023,Summer,3.119
1014,2023,Fall,3.338
1014,2024,Spring,3.303
1014,2024,Summer,3.112
1014,2024,Fall,3.352
1014,2025,Spring,3.304
1014,2025,Summer,3.325
1014,2025,Fall,3.323
1015,2020,Spring,2.491
1015,2020,Summer,2.522
1015,2020,Fall,2.62
1015,2021,Spring,2.937
1015,2021,Summer,2.939
1015,2021,Fall,2.624
1015,2022,Spring,2.648
1015,2022,Summer,2.695
1015,2022,Fall,2.664
1015,2023,Spring,2.832
1015,2023,Summer,2.534
1015,2023,Fall,2.782
1015,2024,Spring,2.608
1015,2024,Summer,2.725
1015,2024,Fall,2.55
1015,2025,Spring,2.514
1015,2025,Summer,2.863
1015,2025,Fall,2.734
1016,2020,Spring,2.607
1016,2020,Summer,2.512
1016,2020,Fall,2.506
1016,2021,Spring,2.528
1016,2021,Summer,2.405
1016,2021,Fall,2.329
1016,2022,Spring,2.446
1016,2022,Summer,2.313
1016,2022,Fall,2.488
1016,2023,Spring,2.397
1016,2023,Summer,2.271
1016,2023,Fall,2.332
1016,2024,Spring,2.426
1016,2024,Summer,2.27
1016,2024,Fall,2.256
1016,2025,Spring,2.383
1016,2025,Summer,2.324
1016,2025,Fall,2.26
1017,2020,Spring,2.961
1017,2020,Summer,2.813
1017,2020,Fall,2.826
1017,2021,Spring,2.988
1017,2021,Summer,2.729
1017,2021,Fall,2.98
1017,2022,Spring,2.898
1017,2022,Summer,2.871
1017,2022,Fall,2.853
1017,2023,Spring,2.927
1017,2023,Summer,2.965
1017,2023,Fall,2.958
1017,2024,Spring,2.975
1017,2024,Summer,2.905
1017,2024,Fall,2.833
1017,2025,Spring,2.905
1017,2025,Summer,2.891
1017,2025,Fall,2.966
1018,2020,Spring,3.07
1018,2020,Summer,2.867
1018,2020,Fall,3.065
1018,2021,Spring,3.209
1018,2021,Summer,3.368
1018,2021,Fall,3.31
1018,2022,Spring,3.597
1018,2022,Summer,2.986
1018,2022,Fall,3.352
1018,2023,Spring,3.264
1018,2023,Summer,3.633
1018,2023,Fall,3.076
1018,2024,Spring,3.12
1018,2024,Summer,3.137
1018,2024,Fall,2.874
1018,2025,Spring,3.241
1018,2025,Summer,3.165
1018,2025,Fall,3.385
1019,2020,Spring,3.188
1019,2020,Summer,3.214
1019,2020,Fall,3.249
1019,2021,Spring,3.387
1019,2021,Summer,3.3
1019,2021,Fall,3.277
